age,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,days_since_joining,last_visit_hour,membership_tier,has_referral,gender,region_category,preferred_offer_types,medium_of_operation,internet_option,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
33.0,5.0,32.75,1651.2,20.0,739.87,940.0,0.0,4.0,1.0,F,Town,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes,No,Not Applicable,Poor Website,3
38.0,22.0,240.36,18934.65,12.0,629.6892161723673,789.0,4.0,0.0,1.0,M,Town,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No,Yes,Unsolved,Too many ads,5
34.0,12.0,295.73,1342.5,28.0,530.084317769294,470.0,17.0,5.0,1.0,M,Town,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes,No,Not Applicable,Too many ads,3
35.0,20.0,125.53,26691.31,15.0,700.27,726.0,23.0,1.0,1.0,M,City,Credit/Debit Card Offers,Smartphone,Fiber_Optic,No,Yes,No,Not Applicable,Too many ads,4
28.0,16.0,881.31,5366.02,19.0,819.2405628107657,76.0,17.0,1.0,1.0,F,City,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No,Yes,Solved,Poor Customer Service,5
62.0,12.0,46.66,10907.66,15.0,626.15,76.0,7.0,0.0,1.0,F,Village,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes,Yes,No Information Available,Poor Website,5
23.0,17.0,89.92,32798.85,19.0,549.53,203.0,8.0,1.0,1.0,M,City,Without Offers,Desktop,Mobile_Data,No,Yes,No,Not Applicable,Poor Website,5
55.0,4.0,200.23,7948.53,27.0,631.44,951.0,14.0,1.0,0.0,F,Town,Without Offers,Smartphone,Fiber_Optic,No,Yes,No,Not Applicable,Poor Website,4
55.0,14.0,460.71,2293.99,15.0,782.13,386.0,1.0,2.0,0.0,F,Town,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No,Yes,Unsolved,Poor Product Quality,3
35.0,15.0,453.9,18094.82,17.0,788.36,950.0,5.0,4.0,1.0,F,Town,Without Offers,Both,Fiber_Optic,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,3
18.0,5.0,446.81,47558.9,27.0,749.93,192.0,22.0,2.0,1.0,M,City,Without Offers,Smartphone,Wi-Fi,Yes,No,Yes,Solved,Poor Customer Service,3
22.0,13.0,106.8,36541.97,17.0,702.67,950.0,1.0,3.0,0.0,M,Town,Without Offers,Smartphone,Wi-Fi,No,Yes,Yes,Solved in Follow-up,No reason specified,4
37.0,6.0,428.56,28595.38,-9.862246544024105,518.3744929844797,833.0,16.0,2.0,1.0,M,Town,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,Yes,No,Not Applicable,Poor Product Quality,4
27.0,19.0,52.54,13416.25,8.0,773.49,984.0,3.0,5.0,0.0,F,Town,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes,No,Not Applicable,Products always in Stock,2
23.0,23.0,84.11,22978.75,29.0,605.9,95.0,19.0,1.0,1.0,M,City,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No,Yes,Solved in Follow-up,Poor Website,4
36.0,7.0,34.13,14868.27,27.0,609.06,803.0,4.0,0.0,1.0,M,Town,Without Offers,Smartphone,Wi-Fi,No,Yes,Yes,Solved,Poor Customer Service,5
46.0,8.0,57.67,43115.46,26.0,633.66,221.0,23.0,3.0,1.0,F,City,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes,Yes,Unsolved,Poor Product Quality,4
48.0,24.0,340.34,41521.71,9.0,781.33,176.0,10.0,5.0,0.0,M,Village,Credit/Debit Card Offers,Both,Wi-Fi,No,Yes,No,Not Applicable,Poor Customer Service,3
43.0,4.0,645.24,21308.56,1.0,766.57,676.0,22.0,2.0,1.0,M,Village,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes,Yes,Solved,User Friendly Website,2
22.0,11.0,73.08,35434.02,29.0,965.8797834097747,143.0,18.0,2.0,1.0,F,Town,Gift Vouchers/Coupons,Desktop,Fiber_Optic,No,Yes,No,Not Applicable,Too many ads,4
50.0,16.0,131.95,84752.51,17.0,805.49,73.0,3.0,5.0,1.0,F,City,Without Offers,Desktop,Fiber_Optic,No,Yes,Yes,Unsolved,Products always in Stock,1
52.0,22.0,383.42,24358.05,23.0,615.25,531.0,15.0,2.0,1.0,F,City,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,Yes,Yes,No Information Available,Too many ads,4
63.0,16.0,33.69,23228.79,6.310100888982838,732.11,117.0,7.0,3.0,1.0,M,Town,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No,No,Not Applicable,Too many ads,3
22.0,15.0,31.91,37633.73,14.0,793.06,365.0,20.0,3.0,1.0,F,Town,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes,No,Not Applicable,Poor Customer Service,3
41.0,16.0,67.4,2497.51,-10.663377871601535,685.6,575.0,23.0,0.0,1.0,F,Town,Without Offers,Desktop,Wi-Fi,No,Yes,Yes,Unsolved,Poor Product Quality,5
40.0,22.0,75.32,24787.26,6.0,1108.7589834078094,1068.0,11.0,0.0,0.0,M,Town,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes,No,Not Applicable,Poor Customer Service,5
42.0,12.0,105.27,26640.42,29.0,552.49,269.0,8.0,1.0,0.0,M,City,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,5
26.0,16.0,349.42,45392.09,13.0,384.9378798881458,873.0,15.0,5.0,0.0,M,City,Gift Vouchers/Coupons,Both,Mobile_Data,No,Yes,Yes,Solved,Poor Customer Service,3
55.0,16.0,293.34,39236.76,19.0,660.06,801.0,20.0,1.0,0.0,F,Town,Credit/Debit Card Offers,Both,Wi-Fi,No,Yes,Yes,Unsolved,Poor Product Quality,4
13.0,7.0,194.07,6899.04,23.0,641.344,295.0,7.0,2.0,0.0,M,Town,Without Offers,Desktop,Mobile_Data,Yes,No,Yes,Unsolved,Poor Product Quality,3
28.0,15.0,196.71,14691.1,5.0,819.45,270.0,14.0,3.0,0.0,F,Town,Gift Vouchers/Coupons,Smartphone,Mobile_Data,No,Yes,Yes,Solved,Products always in Stock,1
50.0,19.0,178.52,91969.52,15.0,255.7232162249336,879.0,20.0,4.0,1.0,F,Town,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No,No,Not Applicable,Quality Customer Care,2
63.0,4.0,213.4,11264.81,27.0,198.88301592657547,373.0,1.0,3.0,1.0,M,City,Gift Vouchers/Coupons,Desktop,Mobile_Data,No,Yes,No,Not Applicable,Too many ads,4
57.0,6.0,847.34,10838.79,23.0,263.2683099411676,340.0,5.0,0.0,1.0,M,City,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes,No,Not Applicable,Poor Customer Service,5
14.0,16.0,44.25,10795.47,17.0,770.09,122.0,8.0,3.0,1.0,M,Town,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes,Yes,Unsolved,Poor Website,3
57.0,5.0,1123.07,11645.8,9.0,784.35,972.0,7.0,5.0,1.0,M,City,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3
39.0,11.2,1209.0853027473595,93271.98119999998,16.0,106.54267990398986,399.0,10.0,4.0,0.0,M,City,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes,No,Not Applicable,Products always in Stock,1
34.0,14.0,131.9,35709.03,8.0,645.41,940.0,22.0,0.0,0.0,F,Town,Credit/Debit Card Offers,Smartphone,Mobile_Data,No,Yes,Yes,Unsolved,Poor Website,5
44.0,10.0,166.79,43843.2,24.677350742402858,679.48,665.0,0.0,0.0,0.0,F,Village,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No,No,Not Applicable,Poor Product Quality,4
20.0,16.0,244.33,93271.98119999998,17.0,775.99,285.0,15.0,5.0,0.0,M,Village,Without Offers,Smartphone,Fiber_Optic,No,Yes,Yes,Unsolved,Quality Customer Care,2
21.0,17.0,427.38,5825.98,17.6,520.95,1011.0,21.0,1.0,0.0,M,Town,Without Offers,Smartphone,Wi-Fi,Yes,Yes,Yes,Solved,Poor Website,5
63.0,15.6,289.48,1544.02,5.0,755.92,228.0,17.0,5.0,1.0,M,City,Without Offers,Desktop,Fiber_Optic,No,Yes,No,Not Applicable,Too many ads,3
18.0,11.0,48.56,22497.51,19.0,654.55,1084.0,17.0,3.0,1.0,F,Town,Without Offers,Smartphone,Mobile_Data,Yes,No,No,Not Applicable,No reason specified,4
50.0,8.0,56.9,28610.12,5.0,628.2,730.0,19.0,1.0,1.0,M,Town,Without Offers,Desktop,Fiber_Optic,No,Yes,Yes,No Information Available,Too many ads,5
25.0,16.0,824.37,42255.34,14.0,941.384766082834,495.0,16.0,1.0,1.0,F,City,Without Offers,Desktop,Fiber_Optic,No,Yes,Yes,Unsolved,No reason specified,5
53.0,8.0,237.58,5194.83,19.0,609.6,815.0,5.0,0.0,0.0,F,Village,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No,Yes,No Information Available,No reason specified,4
46.0,14.0,123.37,25563.38,15.0,792.35,944.0,2.0,5.0,1.0,F,City,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No,No,Not Applicable,Too many ads,3
14.0,5.0,53.38,20241.62,16.0,576.76,436.0,1.0,0.0,1.0,M,Town,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes,No,Not Applicable,Poor Product Quality,5
30.0,16.0,37.18,8442.41,7.0,784.88,605.0,2.0,2.0,0.0,M,City,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes,No,Not Applicable,Reasonable Price,2
31.0,21.0,57.44,23682.7,27.0,724.99,437.0,4.0,5.0,1.0,F,City,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No,Yes,Solved in Follow-up,No reason specified,3
49.0,13.0,31.08,42684.8,15.0,1256.5952204788814,173.0,7.0,4.0,1.0,F,City,Without Offers,Smartphone,Mobile_Data,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,3
24.0,15.0,77.76,15178.09,9.0,499.69564328333087,645.0,10.0,5.0,1.0,F,Town,Without Offers,Smartphone,Fiber_Optic,Yes,No,Yes,Solved,User Friendly Website,1
61.0,13.2,173.52,2432.67,19.0,612.35,743.0,5.0,1.0,1.0,M,City,Without Offers,Smartphone,Mobile_Data,No,Yes,No,Not Applicable,Poor Website,4
48.0,21.0,52.62,19861.35,20.0,697.36,198.0,22.0,2.0,1.0,F,City,Without Offers,Smartphone,Mobile_Data,Yes,No,Yes,Solved,Too many ads,4
20.0,21.0,128.92,19417.2,18.0,707.07,400.0,14.0,2.0,1.0,M,Town,Without Offers,Desktop,Fiber_Optic,No,Yes,No,Not Applicable,Poor Customer Service,3
35.0,20.0,57.99,25724.94,9.0,725.37,237.0,4.0,4.0,1.0,M,Town,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes,Yes,Solved,No reason specified,3
46.0,9.2,670.52,9894.65,23.0,352.6097738079325,750.0,18.0,2.0,1.0,F,City,Credit/Debit Card Offers,Smartphone,Wi-Fi,Yes,No,No,Not Applicable,Poor Product Quality,3
56.0,7.0,1482.5571401538336,56609.54,18.0,811.0,944.0,15.0,3.0,0.0,M,Town,Without Offers,Smartphone,Mobile_Data,Yes,Yes,No,Not Applicable,Products always in Stock,1
31.0,18.0,449.26,30146.05,4.0,1256.5952204788814,1069.0,18.0,5.0,0.0,M,Town,Gift Vouchers/Coupons,Desktop,Wi-Fi,No,Yes,No,Not Applicable,Products always in Stock,1
42.0,24.0,147.82,7061.42,17.0,621.3,716.0,12.0,0.0,1.0,M,Town,Without Offers,Smartphone,Fiber_Optic,No,Yes,No,Not Applicable,Poor Website,5
48.0,12.0,509.13,41749.24,16.0,268.625569353944,797.0,13.0,4.0,1.0,M,Village,Without Offers,Both,Wi-Fi,Yes,Yes,No,Not Applicable,Too many ads,3
54.0,9.0,50.27,10616.35,5.0,380.0501362498338,236.0,11.0,0.0,0.0,F,Village,Without Offers,Desktop,Mobile_Data,No,Yes,No,Not Applicable,Too many ads,4
21.0,18.0,68.74,21278.51,21.0,688.33,843.0,0.0,2.0,1.0,F,Town,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,No,Yes,Solved in Follow-up,No reason specified,4
36.0,21.0,-943.8667682476677,90630.15,12.0,834.45,861.0,7.0,5.0,0.0,M,Town,Credit/Debit Card Offers,Desktop,Wi-Fi,No,Yes,Yes,Solved,User Friendly Website,1
25.0,12.0,30.89,27204.66,23.0,728.07,172.0,20.0,3.0,1.0,F,Village,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No,No,Not Applicable,Too many ads,3
61.0,12.0,380.02,24219.87,10.0,414.18968024447696,824.0,0.0,3.0,0.0,F,City,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No,No,Not Applicable,Reasonable Price,2
41.0,22.0,87.82,4967.46,23.0,637.19,802.0,9.0,1.0,1.0,M,Town,Without Offers,Smartphone,Mobile_Data,No,Yes,No,Not Applicable,Too many ads,4
31.0,16.0,410.54,33314.76,13.467324425679692,749.46,37.0,17.0,2.0,1.0,F,Town,Without Offers,Desktop,Wi-Fi,Yes,No,No,Not Applicable,Poor Website,3
60.0,13.0,247.55,29371.09,18.4,754.96,352.0,2.0,4.0,0.0,M,City,Without Offers,Desktop,Mobile_Data,Yes,Yes,Yes,Unsolved,No reason specified,3
55.0,14.0,43.05,72351.06,8.0,787.54,265.0,5.0,5.0,1.0,M,Town,Gift Vouchers/Coupons,Smartphone,Mobile_Data,No,Yes,Yes,Unsolved,Reasonable Price,2
37.0,21.0,32.3,13056.61,-10.663377871601535,666.22,794.0,22.0,0.0,1.0,M,Town,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No,No,Not Applicable,Poor Customer Service,4
15.0,15.0,405.31,27254.86,27.0,665.0423688607906,378.0,20.0,5.0,0.0,F,City,Credit/Debit Card Offers,Both,Mobile_Data,Yes,Yes,No,Not Applicable,Too many ads,3
63.0,9.0,209.12,29556.43,6.0,711.63,398.0,7.0,3.0,1.0,F,Town,Without Offers,Desktop,Fiber_Optic,No,Yes,No,Not Applicable,Poor Product Quality,4
33.0,17.0,90.93,8472.06,16.0,728.5519999999999,708.0,17.0,1.0,1.0,M,City,Without Offers,Smartphone,Mobile_Data,Yes,No,Yes,Solved,Poor Customer Service,5
29.0,21.0,737.99,44516.12,27.0,1110.2755668587745,892.0,11.0,0.0,1.0,M,Town,Without Offers,Desktop,Fiber_Optic,No,Yes,Yes,Unsolved,Poor Product Quality,5
56.0,9.0,760.78,15919.87,39.14831789315426,695.85,627.0,9.0,0.0,1.0,F,City,Credit/Debit Card Offers,Both,Wi-Fi,Yes,Yes,Yes,Unsolved,Poor Product Quality,4
32.0,21.0,1184.938338380155,35330.18,28.0,802.513473145973,26.0,17.0,0.0,1.0,M,City,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes,Yes,No Information Available,Poor Product Quality,5
27.0,4.0,1482.5571401538336,81888.15,9.0,785.87,590.0,9.0,3.0,1.0,F,City,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,No,Yes,Solved,User Friendly Website,1
22.0,12.0,504.16,20740.21,32.40694172050272,733.45,952.0,9.0,4.0,1.0,F,Town,Without Offers,Both,Mobile_Data,Yes,No,Yes,No Information Available,Poor Customer Service,3
44.0,19.0,391.15,36830.33,9.0,793.02,60.0,19.0,4.0,0.0,M,Town,Without Offers,Desktop,Wi-Fi,No,Yes,No,Not Applicable,Too many ads,3
40.0,17.0,91.86,32902.81,26.0,1192.5559040257149,190.0,13.0,1.0,0.0,F,City,Without Offers,Smartphone,Fiber_Optic,Yes,No,Yes,Unsolved,Too many ads,4
27.0,3.0,30.78,22385.69,7.0,754.48,858.0,4.0,4.0,0.0,M,Town,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes,No,Not Applicable,Quality Customer Care,1
35.0,3.0,243.74,36139.15,3.0,379.8501781844204,861.0,17.0,4.0,1.0,M,Village,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes,Yes,Solved,Reasonable Price,2
64.0,9.0,-943.8667682476677,48174.26,21.0,638.78,344.0,19.0,3.0,1.0,M,Town,Without Offers,Smartphone,Fiber_Optic,No,Yes,No,Not Applicable,Too many ads,4
32.0,15.2,172.8,30241.75,7.8,769.18,141.0,18.0,5.0,1.0,M,Town,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No,Yes,Solved,Poor Customer Service,3
57.0,10.0,160.6,41515.05,29.19245071540105,817.82,843.0,8.0,5.0,1.0,F,Town,Without Offers,Smartphone,Mobile_Data,No,Yes,Yes,No Information Available,Reasonable Price,1
19.0,4.0,1307.47,42496.74,7.0,744.51,433.0,0.0,5.0,1.0,M,Town,Credit/Debit Card Offers,Both,Fiber_Optic,Yes,No,Yes,Unsolved,User Friendly Website,2
54.0,2.0,95.45,59545.32,19.0,715.16,869.0,3.0,4.0,1.0,F,Town,Without Offers,Smartphone,Wi-Fi,No,Yes,No,Not Applicable,Products always in Stock,2
49.0,11.0,617.79,59506.8,2.0,821.89,58.0,7.0,5.0,1.0,F,City,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,Yes,No,Not Applicable,Products always in Stock,1
28.0,10.0,445.47,83828.98,10.0,790.51,616.0,8.0,4.0,0.0,M,Town,Gift Vouchers/Coupons,Both,Wi-Fi,Yes,Yes,Yes,Solved,Quality Customer Care,1
63.0,10.0,233.98,45588.48,18.0,661.19,991.0,3.0,1.0,1.0,M,City,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,Yes,Yes,Solved in Follow-up,No reason specified,4
21.0,14.0,31.6,25314.14,21.0,614.59,894.0,22.0,0.0,1.0,F,Town,Gift Vouchers/Coupons,Smartphone,Mobile_Data,No,Yes,No,Not Applicable,Poor Website,4
14.0,13.0,99.38,33122.97,26.0,506.25,708.0,14.0,0.0,1.0,M,City,Without Offers,Desktop,Wi-Fi,Yes,No,Yes,Solved in Follow-up,No reason specified,5
34.0,13.0,314.85,42009.13,28.0,672.43,779.0,19.0,0.0,0.0,M,Town,Without Offers,Smartphone,Fiber_Optic,Yes,No,Yes,Unsolved,No reason specified,5
28.0,5.0,775.91,67900.15,15.0,735.33,87.0,21.0,3.0,1.0,M,Village,Gift Vouchers/Coupons,Both,Fiber_Optic,No,Yes,Yes,Unsolved,Reasonable Price,2
18.0,14.0,56.8,24662.96,28.0,698.93,318.0,17.0,1.0,1.0,M,Town,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes,Yes,No Information Available,No reason specified,5
41.0,16.0,1173.618824771764,22436.15,23.0,639.34,867.0,4.0,0.0,1.0,F,Town,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No,No,Not Applicable,Poor Customer Service,4
47.0,14.0,81.28,72442.22,9.0,843.23,122.0,14.0,3.0,0.0,F,Town,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes,Yes,Unsolved,Quality Customer Care,1
58.0,21.0,33.83,5614.87,29.0,717.14,336.0,8.0,4.0,1.0,F,City,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No,No,Not Applicable,Poor Customer Service,3
22.0,11.0,30.13,4716.2,9.0,768.09,34.0,18.0,2.0,1.0,F,Town,Without Offers,Smartphone,Mobile_Data,Yes,No,Yes,Solved in Follow-up,Poor Website,3
36.0,4.0,901.64,40491.2,9.0,692.72,657.0,13.0,1.0,1.0,F,City,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No,Yes,Solved in Follow-up,Poor Website,4
51.0,11.0,177.34,28478.54,21.0,719.51,266.0,0.0,0.0,0.0,F,City,Credit/Debit Card Offers,Desktop,Wi-Fi,Yes,No,No,Not Applicable,Poor Customer Service,4
45.0,10.0,61.48,1992.04,29.0,758.87,65.0,6.0,2.0,0.0,M,Town,Without Offers,Desktop,Mobile_Data,No,Yes,Yes,No Information Available,Too many ads,3
38.0,20.0,132.95,30896.18,17.0,650.23,537.0,17.0,1.0,0.0,M,Town,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No,No,Not Applicable,Too many ads,4
26.0,23.0,-33.43990830451321,11475.07,13.0,722.9083138497185,531.0,22.0,0.0,1.0,M,Town,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No,Yes,Solved in Follow-up,Poor Website,4
33.0,6.0,342.23,12741.8,20.0,164.60733478943868,380.0,4.0,1.0,0.0,F,Town,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,No,Yes,Yes,Solved,Poor Product Quality,4
32.0,11.0,85.1,38084.34,21.0,716.76,135.0,0.0,4.0,1.0,F,City,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No,Yes,Unsolved,Poor Website,3
43.0,7.0,412.23,38311.06,15.0,623.89,782.0,17.0,1.0,1.0,F,Town,Credit/Debit Card Offers,Both,Wi-Fi,Yes,No,No,Not Applicable,No reason specified,4
32.0,10.0,70.88,44271.41,-10.663377871601535,729.88,65.0,6.0,4.0,1.0,F,Town,Without Offers,Smartphone,Mobile_Data,No,Yes,Yes,No Information Available,Reasonable Price,2
34.0,12.0,81.44,31047.79,13.0,614.57,70.0,3.0,0.0,1.0,M,City,Credit/Debit Card Offers,Smartphone,Fiber_Optic,No,Yes,Yes,Solved,Poor Website,4
50.0,12.0,412.66,49659.85,24.0,1256.5952204788814,485.0,2.0,3.0,0.0,M,Village,Gift Vouchers/Coupons,Smartphone,Wi-Fi,Yes,Yes,No,Not Applicable,No reason specified,3
40.0,11.0,43.28,23568.43,42.3867537120143,410.3429677334041,100.0,9.0,0.0,0.0,F,Village,Without Offers,Desktop,Wi-Fi,No,Yes,Yes,No Information Available,Poor Customer Service,5
60.0,16.0,145.22,24478.55,23.0,677.59,463.0,15.0,0.0,1.0,F,Town,Credit/Debit Card Offers,Desktop,Mobile_Data,No,Yes,Yes,Solved,Poor Product Quality,5
29.0,12.0,33.77,3132.73,22.0,638.33,71.0,7.0,2.0,0.0,F,Town,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No,No,Not Applicable,Poor Product Quality,4
36.0,12.0,92.92,7325.42,37.000404818204174,524.31,864.0,11.0,0.0,1.0,F,Town,Without Offers,Desktop,Mobile_Data,No,Yes,No,Not Applicable,Poor Website,5
51.0,3.0,152.01,38970.67,6.0,752.8,642.0,7.0,5.0,1.0,M,Town,Without Offers,Smartphone,Mobile_Data,Yes,No,Yes,Unsolved,Poor Customer Service,3
52.0,17.0,283.3,8101.0,26.0,698.44,1085.0,7.0,3.0,0.0,F,City,Without Offers,Smartphone,Wi-Fi,No,Yes,No,Not Applicable,Too many ads,4
